Designator,Mid X,Mid Y,Layer,Rotation
C1,135.0,-109.0,T,90.0
C2,144.0,-122.0,T,270.0
C3,141.0,-122.0,T,270.0
C4,169.0,-80.0,T,180.0
C5,133.0,-75.5,T,90.0
C6,135.0,-75.5,T,90.0
C7,134.0,-81.0,T,180.0
D1,170.0,-100.0,B,180.0
D2,130.0,-100.0,B,180.0
J1,173.0,-116.525,T,180.0
J10,165.0,-116.525,T,180.0
J11,169.0,-116.525,T,180.0
J12,158.0,-124.0,T,90.0
J3,177.0,-116.525,T,180.0
J4,163.2,-76.0,T,90.0
J5,182.0,-103.8,T,180.0
J6,120.0,-89.475,T,0.0
J7,158.0,-129.0,T,90.0
J8,120.0,-105.475,T,0.0
J9,143.65,-97.5,T,90.0
Q1,125.0,-90.015,T,0.0
Q2,125.0,-106.0,T,0.0
R1,160.0,-110.0,T,90.0
R10,134.0,-79.0,T,180.0
R11,162.0,-114.0,T,90.0
R12,160.0,-114.0,T,90.0
R2,124.0,-94.015,T,0.0
R3,128.0,-90.015,T,90.0
R4,127.0,-94.015,T,0.0
R5,130.0,-94.015,T,0.0
R6,124.0,-110.0,T,0.0
R7,128.0,-106.0,T,90.0
R8,127.0,-110.0,T,0.0
R9,130.0,-110.0,T,0.0
U1,148.0,-109.0,T,0.0
U2,135.0,-121.7,T,0.0
U3,160.57,-95.0,T,0.0
U4,150.0,-83.0,T,90.0
